player_id,season,GW,pred_xgb,actual,pred_lstm
181.0,2022-23,8,4.3635955,1,0.9519019
181.0,2022-23,9,3.768535,2,0.9182185
181.0,2022-23,10,3.8916597,2,1.0655376
181.0,2022-23,11,2.978296,2,0.9534476
181.0,2022-23,12,2.5362823,11,1.0098773
181.0,2022-23,13,3.7439313,2,1.3270324
181.0,2022-23,14,3.6824708,10,1.0365305
181.0,2022-23,15,4.2278423,2,1.2730286
181.0,2022-23,16,4.4349456,5,0.95225036
181.0,2022-23,17,5.0532975,6,1.2190741
181.0,2022-23,18,5.4998217,2,1.2267414
181.0,2022-23,19,4.6790037,10,1.2572458
181.0,2022-23,19,4.6790037,10,1.4065205
181.0,2022-23,19,3.1399467,4,1.2572458
181.0,2022-23,19,3.1399467,4,1.4065205
181.0,2022-23,20,2.698843,3,1.1450781
181.0,2022-23,21,4.6183534,2,1.274788
181.0,2022-23,22,2.8155053,6,1.327315
181.0,2022-23,23,2.7737947,6,1.2950126
181.0,2022-23,24,1.7095035,11,1.4456114
181.0,2022-23,25,2.897329,2,1.476579
181.0,2022-23,26,2.1901493,2,1.515344
181.0,2022-23,27,2.5848713,2,1.1955515
181.0,2022-23,28,0.84117615,0,1.2117666
181.0,2022-23,29,2.56537,2,0.8668184
181.0,2022-23,30,3.8410168,3,1.0946624
181.0,2022-23,31,2.207985,3,1.2115073
181.0,2022-23,32,1.585307,2,1.3466324
181.0,2022-23,33,3.7593167,2,1.5540899
181.0,2022-23,34,2.5766857,3,1.2423006
181.0,2022-23,34,2.5766857,3,1.2892321
181.0,2022-23,34,3.6261587,2,1.2423006
181.0,2022-23,34,3.6261587,2,1.2892321
181.0,2022-23,35,4.291666,9,1.2337732
181.0,2022-23,36,2.063405,8,1.3502339
181.0,2022-23,37,1.5322548,2,1.3797048
181.0,2022-23,38,1.7708336,3,1.1477078
473.0,2022-23,6,3.2982428,2,0.9928875
473.0,2022-23,7,1.6255498,0,1.1794362
473.0,2022-23,8,3.2812161,0,0.89182293
473.0,2022-23,9,2.6989408,8,0.9842448
473.0,2022-23,10,3.7017317,1,1.2434313
473.0,2022-23,11,3.930157,6,1.0325632
473.0,2022-23,12,2.7363117,9,1.1806759
473.0,2022-23,13,2.3204975,8,1.3792095
473.0,2022-23,14,3.0719101,3,1.1854062
473.0,2022-23,15,3.5983005,6,1.1056027
473.0,2022-23,16,4.9804745,11,1.1210545
473.0,2022-23,17,6.367046,1,1.5270728
473.0,2022-23,18,2.853682,3,1.4277519
473.0,2022-23,19,4.865209,2,1.2940073
473.0,2022-23,20,4.8461943,2,1.1976942
473.0,2022-23,21,2.852063,1,0.90062827
473.0,2022-23,22,3.5786197,2,0.96529466
473.0,2022-23,23,4.697714,3,1.0283725
473.0,2022-23,24,2.0230606,2,1.1338819
473.0,2022-23,25,2.6208012,2,1.025328
473.0,2022-23,26,4.4588394,11,0.989395
473.0,2022-23,27,3.9492266,2,1.2610756
509.0,2022-23,22,-0.032819577,0,0.90112495
509.0,2022-23,23,0.029992038,0,0.74085045
509.0,2022-23,24,0.039450653,0,0.58556104
509.0,2022-23,25,0.047071144,0,0.5047887
509.0,2022-23,26,0.034179334,0,0.46522516
509.0,2022-23,27,0.0039478373,0,0.47634375
509.0,2022-23,28,0.0039478373,0,0.46859622
509.0,2022-23,29,0.0039478373,0,0.46076602
509.0,2022-23,30,-0.011131204,0,0.4539978
509.0,2022-23,31,-0.011131204,0,0.45018387
509.0,2022-23,32,-0.011131204,0,0.44731396
509.0,2022-23,33,-0.011131204,0,0.44257367
509.0,2022-23,34,-0.011131204,0,0.4377367
509.0,2022-23,35,-0.011131204,0,0.43381852
509.0,2022-23,36,-0.011131204,0,0.43381852
509.0,2022-23,37,0.60905844,1,0.43381852
509.0,2022-23,38,3.430349,3,1.0559094
635.0,2022-23,38,4.7465024,1,1.2444242
637.0,2022-23,6,2.3732896,2,1.204733
637.0,2022-23,7,0.4444372,0,1.146207
637.0,2022-23,8,2.2157333,2,0.8618934
637.0,2022-23,9,2.0988076,3,1.1459067
637.0,2022-23,10,2.873012,10,1.2541746
637.0,2022-23,11,3.203177,6,1.5364354
637.0,2022-23,12,2.8500464,3,1.341954
637.0,2022-23,13,3.9718015,2,1.0697497
637.0,2022-23,14,3.3638935,1,1.0945135
637.0,2022-23,15,3.4131408,2,1.1328573
637.0,2022-23,16,4.0055113,1,1.2849815
637.0,2022-23,17,0.7212419,0,1.3269342
637.0,2022-23,18,4.907259,1,0.8656278
637.0,2022-23,19,4.5537667,7,1.1808089
637.0,2022-23,20,3.2516458,0,1.429925
637.0,2022-23,20,3.2516458,0,1.3013327
637.0,2022-23,20,3.5431352,0,1.429925
637.0,2022-23,20,3.5431352,0,1.3013327
637.0,2022-23,21,4.621049,9,1.1760737
637.0,2022-23,22,3.3605711,10,1.1900657
637.0,2022-23,23,0.062851876,0,1.4016486
637.0,2022-23,24,0.4021995,0,0.8811512
637.0,2022-23,25,0.28851563,0,0.6761467
637.0,2022-23,26,0.09477218,0,0.5999817
637.0,2022-23,27,-0.064320296,0,0.57338566
637.0,2022-23,28,-0.06225278,0,0.5699945
637.0,2022-23,29,1.0576046,3,0.54915977
637.0,2022-23,30,2.762116,3,1.0970488
637.0,2022-23,31,2.8121135,2,1.476818
637.0,2022-23,32,3.7442682,-1,1.476185
706.0,2022-23,6,2.90566,1,1.2391192
706.0,2022-23,7,1.0501179,0,1.015829
706.0,2022-23,8,2.793245,2,0.7845682
