player_id,season,GW,pred_xgb,actual,pred_lstm
318.0,2022-23,14,1.4776589,1,0.76006836
318.0,2022-23,15,0.8556158,1,0.8519304
318.0,2022-23,16,0.10487113,0,0.8473895
318.0,2022-23,17,2.5377092,1,0.63267905
318.0,2022-23,18,2.421674,1,0.8808351
318.0,2022-23,19,2.10168,2,0.82207936
318.0,2022-23,20,2.496611,1,0.8182613
318.0,2022-23,21,2.0725358,1,0.90868694
318.0,2022-23,22,-0.009332212,0,0.7617469
318.0,2022-23,23,-0.103186905,0,0.6238236
318.0,2022-23,24,-0.06136165,0,0.48568416
318.0,2022-23,25,1.475566,1,0.40424785
318.0,2022-23,26,0.08418125,0,0.8123916
318.0,2022-23,27,0.060798064,0,0.61970085
318.0,2022-23,28,0.0016968413,0,0.48771226
318.0,2022-23,29,0.038730547,0,0.4192894
318.0,2022-23,30,1.330117,1,0.39530256
318.0,2022-23,31,0.0063992813,0,0.7415047
318.0,2022-23,32,0.0063992813,0,0.5561022
318.0,2022-23,33,1.5026598,1,0.45370406
318.0,2022-23,34,2.529884,1,0.9539989
468.0,2022-23,6,0.49315843,0,0.55880564
468.0,2022-23,7,0.13880913,0,0.52531576
468.0,2022-23,8,0.020653134,0,0.5036784
468.0,2022-23,9,0.48734754,6,0.5750739
468.0,2022-23,10,1.1976587,5,0.9851952
468.0,2022-23,11,1.2656028,2,1.1032187
468.0,2022-23,12,1.8662479,2,1.0236973
468.0,2022-23,13,2.0765028,5,1.0648209
468.0,2022-23,14,4.1256185,19,1.1744028
468.0,2022-23,15,3.3190148,1,1.4956251
468.0,2022-23,16,5.4511914,1,1.5702225
468.0,2022-23,17,1.001315,0,1.3799235
468.0,2022-23,18,5.689508,0,0.911049
468.0,2022-23,19,3.440078,1,1.0273004
468.0,2022-23,20,3.5347269,5,1.0202278
468.0,2022-23,21,3.6219118,2,1.3948132
468.0,2022-23,22,2.1388566,7,1.2046224
468.0,2022-23,23,0.4363112,0,0.79753184
468.0,2022-23,24,2.8423984,1,0.57006407
468.0,2022-23,25,-0.12089282,0,0.7335431
468.0,2022-23,26,2.4417913,2,0.8830182
468.0,2022-23,27,3.427044,1,1.2297763
468.0,2022-23,28,0.059733544,0,1.1148826
468.0,2022-23,29,1.7806221,6,0.9085209
468.0,2022-23,29,1.7806221,6,1.0188146
468.0,2022-23,29,1.4767523,13,0.9085209
468.0,2022-23,29,1.4767523,13,1.0188146
468.0,2022-23,30,2.2755332,4,0.6917567
468.0,2022-23,31,3.6302276,1,0.5796142
468.0,2022-23,32,4.0163894,5,0.68004304
468.0,2022-23,33,3.7956865,13,1.0327705
468.0,2022-23,34,4.841855,12,1.0604433
468.0,2022-23,35,4.036138,2,1.2821194
468.0,2022-23,36,4.700961,12,0.92402864
468.0,2022-23,36,4.700961,12,0.81049615
468.0,2022-23,36,3.4960427,12,0.92402864
468.0,2022-23,36,3.4960427,12,0.81049615
468.0,2022-23,37,2.4946077,2,1.3664296
468.0,2022-23,38,4.7968917,1,1.3850862
482.0,2022-23,6,5.676206,1,2.1181695
482.0,2022-23,7,2.924747,0,2.362986
482.0,2022-23,8,2.8528607,0,1.4310681
482.0,2022-23,9,4.874856,12,0.7990803
482.0,2022-23,10,3.818034,6,1.3371063
482.0,2022-23,11,4.417299,2,1.3548759
482.0,2022-23,12,4.631824,2,1.1605265
482.0,2022-23,13,3.009808,2,1.3721195
482.0,2022-23,14,3.1493406,2,1.3718396
482.0,2022-23,15,3.903857,2,1.3212731
482.0,2022-23,16,5.100864,6,1.5629488
482.0,2022-23,17,3.420906,0,2.0615685
482.0,2022-23,18,1.8180561,0,1.6166872
482.0,2022-23,19,1.4264014,0,0.8356907
482.0,2022-23,20,0.24119642,0,0.4937259
482.0,2022-23,21,0.22078983,0,0.42372444
482.0,2022-23,22,0.14816658,0,0.58484745
482.0,2022-23,23,1.6565459,1,0.55294114
482.0,2022-23,24,1.6883429,1,0.7083637
482.0,2022-23,25,2.0071204,1,1.1208019
482.0,2022-23,25,2.0071204,1,0.9518226
482.0,2022-23,25,1.4962374,1,1.1208019
482.0,2022-23,25,1.4962374,1,0.9518226
482.0,2022-23,26,1.4522339,8,0.68201727
482.0,2022-23,27,2.110824,1,0.6131982
482.0,2022-23,28,0.2704373,0,0.67189956
482.0,2022-23,29,2.0439997,1,0.5299968
482.0,2022-23,29,2.0439997,1,0.6673698
482.0,2022-23,29,1.8849108,2,0.5299968
482.0,2022-23,29,1.8849108,2,0.6673698
482.0,2022-23,30,1.6908945,6,0.68958884
482.0,2022-23,31,2.6122196,1,0.99358517
482.0,2022-23,32,0.6143709,0,0.9282327
482.0,2022-23,33,0.32826498,0,0.5954748
482.0,2022-23,34,0.5736625,0,0.34154993
482.0,2022-23,35,-0.0051421993,0,0.3062622
482.0,2022-23,36,-0.14685848,0,0.43610606
482.0,2022-23,37,0.9191065,7,0.47084108
482.0,2022-23,38,1.8257254,5,0.9053819
501.0,2022-23,6,3.6584759,5,1.3107232
501.0,2022-23,7,3.399634,0,1.7092482
501.0,2022-23,8,1.6408403,0,1.0137047
501.0,2022-23,9,2.856264,5,0.610414
501.0,2022-23,10,3.6198869,2,1.0787839
501.0,2022-23,11,1.9243073,2,1.1029004
501.0,2022-23,12,3.09747,2,1.2807045
501.0,2022-23,13,3.5463758,2,1.3406163
501.0,2022-23,14,1.7575649,0,1.1417897
501.0,2022-23,15,1.7959113,1,0.707275
501.0,2022-23,16,3.9760232,1,0.6715942
501.0,2022-23,17,0.4906297,0,0.83635837
501.0,2022-23,18,0.6042861,0,0.6940827
501.0,2022-23,19,0.45878398,0,0.5613172
501.0,2022-23,20,1.7432393,5,0.48306036
501.0,2022-23,21,3.6132324,2,1.3335103
501.0,2022-23,22,2.2330763,1,1.2978585
501.0,2022-23,23,0.36726552,0,1.0278876
501.0,2022-23,24,0.053836823,0,0.6959756
501.0,2022-23,25,0.7679029,0,0.50537896
501.0,2022-23,26,2.1910565,5,0.54739493
501.0,2022-23,27,2.1039248,1,0.8821196
501.0,2022-23,27,2.1039248,1,1.0194122
501.0,2022-23,27,2.2412524,2,0.8821196
501.0,2022-23,27,2.2412524,2,1.0194122
501.0,2022-23,28,0.41442138,0,0.90865904
501.0,2022-23,29,1.8579133,6,0.66537875
501.0,2022-23,29,1.8579133,6,1.0082725
501.0,2022-23,29,2.4401534,1,0.66537875
501.0,2022-23,29,2.4401534,1,1.0082725
501.0,2022-23,30,2.9560199,2,1.3313483
501.0,2022-23,31,2.4245908,5,1.2368472
501.0,2022-23,32,0.2400112,0,1.3067416
501.0,2022-23,33,3.486179,1,1.0786475
501.0,2022-23,34,3.1586258,15,0.97920626
501.0,2022-23,34,3.1586258,15,1.530684
501.0,2022-23,34,3.4526079,2,0.97920626
501.0,2022-23,34,3.4526079,2,1.530684
501.0,2022-23,35,4.4635196,1,1.7489573
501.0,2022-23,36,4.7462687,1,1.3426837
501.0,2022-23,36,4.7462687,1,1.2858783
501.0,2022-23,36,2.8917847,1,1.3426837
501.0,2022-23,36,2.8917847,1,1.2858783
501.0,2022-23,37,3.5822635,1,1.5578039
501.0,2022-23,37,3.5822635,1,1.2013775
501.0,2022-23,37,2.0677152,2,1.5578039
501.0,2022-23,37,2.0677152,2,1.2013775
531.0,2022-23,6,1.0865169,5,0.8030266
531.0,2022-23,7,0.75459343,0,1.0189195
531.0,2022-23,8,1.7323259,2,0.6793842
531.0,2022-23,9,3.05015,1,0.7437511
531.0,2022-23,10,2.4763522,8,0.6745214
531.0,2022-23,11,1.8247062,1,0.52866507
531.0,2022-23,12,1.4185345,1,0.40415794
531.0,2022-23,13,1.5937438,1,0.28080702
531.0,2022-23,14,1.190086,1,0.29469866
531.0,2022-23,15,1.5096586,1,0.41004243
531.0,2022-23,16,-0.15538034,0,0.63605195
531.0,2022-23,17,1.4482207,2,0.5474965
531.0,2022-23,18,3.5726888,1,1.1797687
531.0,2022-23,19,2.8838284,1,1.0968242
531.0,2022-23,20,2.446752,2,0.96538246
531.0,2022-23,21,3.7745185,5,1.107843
531.0,2022-23,22,2.713197,2,1.0645818
531.0,2022-23,23,3.029479,2,0.8332775
531.0,2022-23,24,4.0227056,1,0.8050369
531.0,2022-23,25,4.8948126,5,0.68638605
531.0,2022-23,26,0.4510611,0,0.6324443
531.0,2022-23,27,0.08616925,0,0.5091689
531.0,2022-23,28,0.5787105,0,0.31388518
531.0,2022-23,29,1.93183,1,0.25934574
531.0,2022-23,29,1.93183,1,0.57822496
531.0,2022-23,29,2.189979,2,0.25934574
531.0,2022-23,29,2.189979,2,0.57822496
531.0,2022-23,30,2.8059292,2,1.2223028
531.0,2022-23,31,2.383474,2,1.2885076
531.0,2022-23,32,2.7423508,6,1.2428856
531.0,2022-23,33,5.310989,5,1.3566037
531.0,2022-23,34,4.907938,7,0.98211867
531.0,2022-23,34,4.907938,7,0.77971345
531.0,2022-23,34,3.0203152,2,0.98211867
531.0,2022-23,34,3.0203152,2,0.77971345
531.0,2022-23,35,5.074387,2,0.5745829
531.0,2022-23,36,0.420602,0,0.6692553
531.0,2022-23,37,0.13066287,0,0.6260278
531.0,2022-23,38,4.645272,2,0.7018109
553.0,2022-23,8,-0.12366297,0,0.42798364
553.0,2022-23,9,0.14910425,10,0.46955052
553.0,2022-23,10,1.4586712,4,0.63953245
553.0,2022-23,11,0.5137644,0,0.5602276
553.0,2022-23,12,0.58564305,0,0.43239495
553.0,2022-23,13,-0.1594944,0,0.38222033
553.0,2022-23,14,-0.07259293,0,0.3863561
553.0,2022-23,15,0.08774842,1,0.42597738
553.0,2022-23,16,2.1823618,2,0.5061607
553.0,2022-23,17,1.2888966,6,1.0043172
553.0,2022-23,18,2.681098,2,1.3001472
553.0,2022-23,19,4.6502233,2,1.2879537
553.0,2022-23,20,4.077091,1,1.2214466
553.0,2022-23,21,-0.5110767,0,0.94880223
553.0,2022-23,22,-0.18702435,0,0.80173653
553.0,2022-23,23,0.10774052,0,0.5310579
553.0,2022-23,24,-0.09323036,0,0.45117146
553.0,2022-23,25,0.04690786,0,0.5156835
553.0,2022-23,26,-0.03406834,0,0.5656596
553.0,2022-23,27,-0.09018921,0,0.54324764
553.0,2022-23,28,-0.0018502849,0,0.4992749
553.0,2022-23,29,0.7603574,1,0.45365047
553.0,2022-23,29,0.7603574,1,0.9306866
553.0,2022-23,29,2.2481017,1,0.45365047
553.0,2022-23,29,2.2481017,1,0.9306866
553.0,2022-23,30,2.123768,5,0.6951297
553.0,2022-23,31,1.8650618,5,0.9103752
553.0,2022-23,32,0.10258673,0,0.91944236
553.0,2022-23,33,2.6376362,1,0.65131813
553.0,2022-23,34,1.8001119,1,0.6905348
553.0,2022-23,34,1.8001119,1,0.43370128
