name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,season,opponent_name,opponent_short_name,opponent_code,opponent_strength,opponent_strength_overall_home,opponent_strength_overall_away,opponent_strength_attack_home,opponent_strength_attack_away,opponent_strength_defence_home,opponent_strength_defence_away,us_shots,us_id,us_season,us_roster_id,us_key_passes,us_npg,us_npxG,us_xGChain,us_xGBuildup,player_id,kickoff_time_dt,opp_dyn_attack,opp_dyn_defence,opp_dyn_overall
Taiwo Awoniyi,FWD,Nott'm Forest,0.0,0,0,8,0,14.5,527,0.36,0.63,0.27,0.97,188,1,0,4.7,5.2,2025-12-30T19:30:00Z,28,9,0,0,0,0,19,0,35579,0,2.0,0.0,27.0,1,209,736,527,52,True,0,19,2025-26,Everton,EVE,11,3,1100,1130,1110,1130,1090,1130,2.0,28965.0,2025.0,760570.0,1.0,0.0,0.1927662491798401,0.245134025812149,0.0523677803575992,7814.0,2025-12-30 19:30:00+00:00,909.2494551712621,1115.6776173133503,1012.4635362423061
Gabriel Martinelli Silva,MID,Arsenal,0.0,0,0,0,0,0.0,19,0.0,0.0,0.0,0.0,181,0,0,0.0,0.0,2025-12-30T20:15:00Z,0,2,0,0,0,0,19,0,109290,0,1.0,4.0,0.0,0,-1991,2017,4008,68,True,0,19,2025-26,Aston Villa,AVL,7,3,1145,1185,1150,1170,1140,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7752.0,2025-12-30 20:15:00+00:00,957.3297404253269,1217.9106790999704,1087.6202097626485
Thierno Barry,FWD,Everton,0.0,0,0,26,1,12.1,310,0.02,0.54,0.52,1.31,188,0,1,6.4,33.0,2025-12-30T19:30:00Z,84,16,0,0,0,0,19,0,51953,1,2.0,0.0,19.0,6,-3409,1866,5275,57,False,0,19,2025-26,Nott'm Forest,NFO,17,3,1100,1130,1100,1110,1100,1150,1.0,28965.0,2025.0,760581.0,1.0,1.0,0.6024571657180786,1.094386339187622,0.4055478572845459,12916.0,2025-12-30 19:30:00+00:00,904.5172676782477,885.3734443496166,894.9453560139322
Lukas Nmecha,FWD,Leeds,0.0,0,0,6,1,2.8,365,0.0,0.0,0.0,1.86,186,0,0,0.3,0.2,2026-01-01T17:30:00Z,69,12,0,0,0,0,19,0,67074,1,0.0,0.0,0.0,2,-1229,1470,2699,50,False,0,19,2025-26,Liverpool,LIV,14,4,1230,1265,1170,1210,1290,1320,0.0,28963.0,2025.0,760731.0,0.0,0.0,0.0,0.0,0.0,6544.0,2026-01-01 17:30:00+00:00,1369.543449472034,974.6874140469388,1172.1154317594865
Djed Spence,DEF,Spurs,0.0,0,0,26,1,9.7,573,0.06,0.06,0.0,0.83,182,0,0,2.2,12.2,2026-01-01T20:00:00Z,90,5,0,0,0,0,19,0,148022,1,0.0,0.0,0.0,6,1509,5114,3605,43,False,0,19,2025-26,Brentford,BRE,94,3,1135,1175,1100,1110,1170,1240,0.0,28959.0,2025.0,760754.0,0.0,0.0,0.0,0.1423769891262054,0.1423769891262054,10764.0,2026-01-01 20:00:00+00:00,1127.7518453826706,1131.2162672698087,1129.4840563262396
Callum Hudson-Odoi,MID,Nott'm Forest,0.0,0,0,14,0,12.1,516,0.1,0.26,0.16,0.67,188,1,0,3.0,2.0,2025-12-30T19:30:00Z,74,9,0,0,0,0,19,0,134824,1,2.0,0.0,16.0,2,13111,20000,6889,57,True,0,19,2025-26,Everton,EVE,11,3,1100,1130,1110,1130,1090,1130,2.0,28965.0,2025.0,760566.0,0.0,0.0,0.3249401152133941,0.5180874466896057,0.1931473612785339,6456.0,2025-12-30 19:30:00+00:00,909.2494551712621,1115.6776173133503,1012.4635362423061
Florian Wirtz,MID,Liverpool,0.0,0,0,12,1,27.2,382,0.07,0.69,0.62,0.52,186,0,0,9.0,10.4,2026-01-01T17:30:00Z,65,11,0,0,0,0,19,0,1578392,1,0.0,0.0,52.0,3,204699,220175,15476,82,True,0,19,2025-26,Leeds,LEE,2,3,1095,1145,1080,1100,1110,1190,4.0,28963.0,2025.0,760715.0,2.0,0.0,0.3996317088603973,0.3063158988952636,0.0150222079828381,8397.0,2026-01-01 17:30:00+00:00,1055.042782691495,1025.9107713413953,1040.476777016445
Vitalii Mykolenko,DEF,Everton,0.0,0,0,26,1,1.3,292,0.0,0.0,0.0,1.55,188,0,0,2.4,20.6,2025-12-30T19:30:00Z,90,16,0,0,0,0,19,0,71420,1,2.0,0.0,2.0,8,3555,6915,3360,49,False,0,19,2025-26,Nott'm Forest,NFO,17,3,1100,1130,1100,1110,1100,1150,0.0,28965.0,2025.0,760575.0,0.0,0.0,0.0,0.0,0.0,10291.0,2025-12-30 19:30:00+00:00,904.5172676782477,885.3734443496166,894.9453560139322
Brenden Aaronson,MID,Leeds,0.0,0,0,5,1,3.7,350,0.02,0.02,0.0,1.86,186,0,0,0.7,1.6,2026-01-01T17:30:00Z,69,12,0,0,0,0,19,0,16818,1,0.0,0.0,2.0,3,444,1503,1059,54,False,0,19,2025-26,Liverpool,LIV,14,4,1230,1265,1170,1210,1290,1320,0.0,28963.0,2025.0,760732.0,0.0,0.0,0.0,0.0,0.0,10751.0,2026-01-01 17:30:00+00:00,1369.543449472034,974.6874140469388,1172.1154317594865
Patrick Dorgu,DEF,Man Utd,0.0,0,0,11,0,33.2,441,0.09,0.17,0.08,1.16,187,1,0,5.4,14.2,2025-12-30T20:15:00Z,90,20,0,0,0,0,19,0,1120407,1,1.0,1.0,7.0,2,593492,598083,4591,42,True,0,19,2025-26,Wolves,WOL,39,3,1070,1085,1050,1050,1090,1120,2.0,28964.0,2025.0,760657.0,2.0,0.0,0.0636849552392959,0.333534687757492,0.2196760475635528,11944.0,2025-12-30 20:15:00+00:00,771.5462921685557,1135.2865190161847,953.4164055923702
