name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,fpl_id,season,now_cost,opponent_name,opponent_short_name,opponent_code,opponent_strength,opponent_strength_overall_home,opponent_strength_overall_away,opponent_strength_attack_home,opponent_strength_attack_away,opponent_strength_defence_home,opponent_strength_defence_away,us_shots,us_id,us_season,us_roster_id,us_key_passes,us_npg,us_npxG,us_xGChain,us_xGBuildup,player_id,opp_dyn_attack,opp_dyn_defence,opp_dyn_overall,kickoff_time_dt
Raheem Sterling,MID,Chelsea,3.3,0,0,1,0,10.8,216,0.02,0.02,0.0,0.0,261,0,0,2.4,5.2,2024-03-02T15:00:00Z,11,4,0,0,0,0,27,0,621253,0,2,2,8.0,1,3215,16917,13702,69,False,0,27,216,2023-24,6.9,Brentford,BRE,94,3,1100,1100,1110,1055,1090,1150,0.0,22155.0,2023.0,644835.0,1.0,0.0,0.0,0.0496568009257316,0.0,618.0,946.2485589447997,813.4682395355434,879.8583992401716,2024-03-02 15:00:00+00:00
Ryan Christie,MID,Bournemouth,2.0,0,0,1,0,0.1,65,0.0,0.0,0.0,1.23,262,0,0,0.8,8.2,2024-03-03T13:00:00Z,45,6,0,0,0,0,27,0,7339,1,2,0,0.0,1,547,862,315,50,False,0,27,65,2023-24,5.0,Burnley,BUR,90,2,1045,1050,1050,1050,1040,1050,0.0,22156.0,2023.0,645477.0,0.0,0.0,0.0,0.0522385202348232,0.0522385202348232,10744.0,633.5589378059824,1001.4960578462882,817.5274978261352,2024-03-03 13:00:00+00:00
Armando Broja,FWD,Fulham,0.5,0,0,2,0,0.3,193,0.0,0.0,0.0,0.05,264,0,0,0.1,0.2,2024-03-02T15:00:00Z,6,5,0,0,0,0,27,0,22567,0,0,3,0.0,1,-1134,1479,2613,49,True,0,27,193,2023-24,4.9,Brighton,BHA,36,3,1100,1210,1070,1180,1135,1240,0.0,22158.0,2023.0,644877.0,0.0,0.0,0.0,0.0,0.0,8384.0,1175.1981019870984,1153.7916283579136,1164.494865172506,2024-03-02 15:00:00+00:00
Dominic Solanke,FWD,Bournemouth,2.8,0,0,1,1,11.0,85,0.1,0.29,0.19,1.49,262,0,0,4.1,11.2,2024-03-03T13:00:00Z,88,6,0,0,0,0,27,0,2534527,1,2,0,19.0,2,180494,393100,212606,71,False,0,27,85,2023-24,7.1,Burnley,BUR,90,2,1045,1050,1050,1050,1040,1050,1.0,22156.0,2023.0,645481.0,1.0,0.0,0.1340945810079574,0.2968886792659759,0.0522385202348232,1679.0,633.5589378059824,1001.4960578462882,817.5274978261352,2024-03-03 13:00:00+00:00
Alex Scott,MID,Bournemouth,1.7,0,0,0,0,0.2,644,0.0,0.0,0.0,0.3,262,0,0,0.3,0.4,2024-03-03T13:00:00Z,45,6,0,0,0,0,27,0,2764,0,2,0,2.0,1,-8,198,206,49,False,0,27,644,2023-24,4.9,Burnley,BUR,90,2,1045,1050,1050,1050,1040,1050,0.0,22156.0,2023.0,645485.0,0.0,0.0,0.0,0.0856482461094856,0.0856482461094856,12149.0,633.5589378059824,1001.4960578462882,817.5274978261352,2024-03-03 13:00:00+00:00
Kalvin Phillips,MID,West Ham,0.0,0,0,3,0,0.8,364,0.0,0.0,0.0,0.72,263,0,0,0.3,1.8,2024-03-02T15:00:00Z,24,9,0,0,0,0,27,0,4960,0,3,1,0.0,1,-140,94,234,47,False,0,27,364,2023-24,4.7,Everton,EVE,11,3,1095,1100,1125,1125,1065,1080,0.0,22157.0,2023.0,644865.0,0.0,0.0,0.0,0.1711714416742324,0.1711714416742324,8719.0,1044.2578914142175,1179.3319127918085,1111.794902103013,2024-03-02 15:00:00+00:00
Rodrigo Bentancur,MID,Spurs,1.8,0,0,4,0,8.4,492,0.03,0.05,0.02,0.29,270,1,0,1.4,0.2,2024-03-02T15:00:00Z,62,8,0,0,0,0,27,0,4147,1,1,3,5.0,1,-64,241,305,54,True,1,27,492,2023-24,5.4,Crystal Palace,CRY,31,3,1070,1100,1080,1120,1060,1085,1.0,22164.0,2023.0,644904.0,0.0,0.0,0.0189001262187957,0.728725254535675,0.7098251581192017,6108.0,736.2330176255242,1045.0496991736477,890.6413583995859,2024-03-02 15:00:00+00:00
Matty Cash,DEF,Aston Villa,2.0,0,0,13,0,1.3,36,0.01,0.01,0.0,2.28,265,2,0,2.8,24.2,2024-03-02T17:30:00Z,90,12,0,0,0,0,27,0,1646151,1,3,2,2.0,1,-10704,32140,42844,46,False,0,27,36,2023-24,4.6,Luton,LUT,102,2,1055,1090,1020,1060,1090,1120,0.0,22159.0,2023.0,645159.0,0.0,0.0,0.0,0.9566558599472046,0.9566558599472046,8864.0,946.1882290191038,678.8890414530462,812.5386352360749,2024-03-02 17:30:00+00:00
Tariq Lamptey,DEF,Brighton,2.0,0,0,6,0,1.5,139,0.06,0.06,0.0,0.23,264,2,0,0.9,1.2,2024-03-02T15:00:00Z,45,10,0,0,0,0,27,0,529163,1,0,3,6.0,0,16546,29030,12484,39,False,0,27,139,2023-24,3.9,Fulham,FUL,54,3,1055,1175,1050,1180,1060,1170,0.0,22158.0,2023.0,644886.0,0.0,0.0,0.0,0.0207329671829938,0.0207329671829938,8226.0,941.551445208021,915.5321907917833,928.5418179999022,2024-03-02 15:00:00+00:00
George Baldock,DEF,Sheffield Utd,-1.3,0,0,2,0,10.5,473,0.04,0.04,0.0,0.44,269,1,0,1.5,2.2,2024-03-04T20:00:00Z,45,1,0,0,0,0,27,0,561852,0,6,0,2.0,1,458,13348,12890,38,True,0,27,473,2023-24,3.8,Arsenal,ARS,3,5,1350,1365,1370,1370,1330,1360,0.0,22163.0,2023.0,646050.0,1.0,0.0,0.0,0.1148375198245048,0.0456317365169525,7706.0,1596.029022834218,1754.0769166317089,1675.0529697329634,2024-03-04 20:00:00+00:00
